Cluster_ID	Cluster_Size	Phylum	Class	Order	Family	Genus	OTU_ID	primary_lifestyle	Fruitbody_type_template
c694	37	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala	animal_parasite	0
c695	37	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c696	37	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c697	37	NA	NA	NA	NA	Tremellales	Tremellales	NA	NA
c698	37	NA	NA	NA	NA	Microbotryomycetes	Microbotryomycetes	NA	NA
c699	37	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c700	36	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c701	36	NA	NA	NA	NA	Basidiomycota	Basidiomycota	NA	NA
c702	36	NA	NA	NA	NA	Sordariomycetes	Sordariomycetes	NA	NA
c703	36	Ascomycota	Leotiomycetes	Helotiales	Amorphothecaceae	Oidiodendron	Oidiodendron_griseum/flavum	soil_saprotroph	0
c704	36	Basidiomycota	Agaricomycetes	Agaricales	Agaricales family incertae sedis	Uncobasidium	Uncobasidium	wood_saprotroph	corticioid
c705	36	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Spirosphaera	Spirosphaera	litter_saprotroph	0
c706	36	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella	ectomycorrhizal	corticioid
c707	36	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_fulvescens_(coll.)	ectomycorrhizal	agaricoid
c708	36	NA	NA	NA	NA	Chytridiomycota	Chytridiomycota	NA	NA
c709	36	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora	wood_saprotroph	corticioid
c710	36	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina	ectomycorrhizal	corticioid
c711	36	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Pseudotomentella	Pseudotomentella	ectomycorrhizal	corticioid
c713	36	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita	root_endophyte	none
c714	36	NA	NA	NA	NA	Mucoraceae	Mucoraceae	NA	NA
c715	35	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius	ectomycorrhizal	agaricoid
c716	35	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha	litter_saprotroph	apothecium_(hymenium_on_surface)
c717	35	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c718	35	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena_pura	litter_saprotroph	agaricoid
c719	35	NA	NA	NA	NA	Hymenochaetales	Hymenochaetales	NA	NA
c720	35	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lepiota	Lepiota_cristata	litter_saprotroph	agaricoid
c721	35	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma	ectomycorrhizal	corticioid
c722	35	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c723	35	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella	soil_saprotroph	none
c724	35	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Dermoloma	Dermoloma	soil_saprotroph	agaricoid
c725	34	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe	ectomycorrhizal	agaricoid
c726	34	NA	NA	NA	NA	Eocronartiaceae	Eocronartiaceae	NA	NA
c727	34	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma	mycoparasite	perithecium_(hymenium_hidden,_narrow_opening)
c728	34	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia_auricolor	wood_saprotroph	apothecium_(hymenium_on_surface)
c729	34	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Operculomycetaceae	Operculomyces	Operculomyces	pollen_saprotroph	zoosporangium
c730	34	NA	NA	NA	NA	Saccharomycetales	Saccharomycetales	NA	NA
c731	34	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c732	34	NA	NA	NA	NA	Herpotrichiellaceae	Herpotrichiellaceae	NA	NA
c733	34	Ascomycota	Leotiomycetes	Leotiales	Leotiales family incertae sedis	Alatospora	Alatospora	litter_saprotroph	none
c734	34	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c735	34	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe	ectomycorrhizal	agaricoid
c736	34	NA	NA	NA	NA	Basidiobolaceae	Basidiobolaceae	NA	NA
c737	34	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Crocicreas	Crocicreas	litter_saprotroph	apothecium_(hymenium_on_surface)
c738	34	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_rimosa	ectomycorrhizal	agaricoid
c739	34	NA	NA	NA	NA	Chaetothyriales	Chaetothyriales	NA	NA
c740	34	Ascomycota	Leotiomycetes	Helotiales	Leptodontidiaceae	Leptodontidium	Leptodontidium	litter_saprotroph	None
c741	34	NA	NA	NA	NA	GS11	GS11	NA	NA
c742	34	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Phialocephala	Phialocephala_sphaeroides	soil_saprotroph	apothecium_(hymenium_on_surface)
c743	34	Basidiomycota	Agaricomycetes	Agaricales	Agaricales family incertae sedis	Lepista	Lepista_densifolia	litter_saprotroph	agaricoid
c744	34	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c745	34	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Capronia	soil_saprotroph	0
c746	33	NA	NA	NA	NA	Rozellomycota	Rozellomycota	NA	NA
c747	33	NA	NA	NA	NA	Chaetothyriales	Chaetothyriales	NA	NA
c748	33	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora_byssinella	wood_saprotroph	corticioid
c749	33	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c750	33	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_queletii	ectomycorrhizal	agaricoid
c752	33	NA	NA	NA	NA	Dothideaceae	Dothideaceae	NA	NA
c753	33	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c754	33	NA	NA	NA	NA	Piptocephalidaceae	Piptocephalidaceae	NA	NA
c755	33	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c756	33	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c757	32	NA	NA	NA	NA	Entolomataceae	Entolomataceae	NA	NA
c758	32	Ascomycota	Leotiomycetes	Helotiales	Arachnopezizaceae	Arachnopeziza	Arachnopeziza	wood_saprotroph	apothecium_(hymenium_on_surface)
c759	32	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales family incertae sedis	Sistotrema	Sistotrema	litter_saprotroph	corticioid
c760	32	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_aff._barlowensis	ectomycorrhizal	agaricoid
c761	32	Basidiomycota	Agaricomycetes	Gomphales	Gomphaceae	Gautieria	Gautieria_monticola	ectomycorrhizal	gasteroid-hypogeous
c762	32	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	Hypomyces_odoratus/_Cladobotryum_mycophilum_	mycoparasite	perithecium_(hymenium_hidden,_narrow_opening)
c763	32	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c764	32	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma	mycoparasite	perithecium_(hymenium_hidden,_narrow_opening)
c765	32	NA	NA	NA	NA	Chytridiomycota	Chytridiomycota	NA	NA
c766	32	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyphodiscus	Hyphodiscus	mycoparasite	apothecium_(hymenium_on_surface)
c767	32	NA	NA	NA	NA	Venturiaceae	Venturiaceae	NA	NA
c768	31	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales family incertae sedis	Sistotrema	Sistotrema	litter_saprotroph	corticioid
c769	31	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Hemimycena	Hemimycena_lactea	litter_saprotroph	agaricoid
c770	31	NA	NA	NA	NA	Clavulinaceae	Clavulinaceae	NA	NA
c771	31	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma_stiparophyllum	ectomycorrhizal	agaricoid
c772	31	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella	soil_saprotroph	none
c773	31	Ascomycota	Pezizomycetes	Pezizales	Sarcosomataceae	Urnula	Urnula_hiemalis	plant_pathogen	apothecium_(hymenium_on_surface)
c774	31	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales family incertae sedis	Resinicium	Resinicium_bicolor	wood_saprotroph	corticioid
c776	31	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma_lanatum	ectomycorrhizal	corticioid
c777	31	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c778	31	NA	NA	NA	NA	Pezizellaceae	Pezizellaceae	NA	NA
c779	31	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella	ectomycorrhizal	corticioid
c780	31	NA	NA	NA	NA	GS22	GS22	NA	NA
c781	31	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c782	31	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c783	31	NA	NA	NA	NA		_Cortinarius_pholideus/privignatus	NA	NA
c784	31	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium	unspecified_saprotroph	0
c785	31	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella	ectomycorrhizal	corticioid
c786	31	NA	NA	NA	NA	Orbiliaceae	Orbiliaceae	NA	NA
c787	30	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c788	30	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella	ectomycorrhizal	corticioid
c789	30	Basidiomycota	Microbotryomycetes	Microbotryomycetes order incertae sedis	Microbotryomycetes family incertae sedis	Slooffia	Slooffia_cresolica	unspecified_saprotroph	none
c790	30	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c791	30	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Galerina	Galerina_fallax	wood_saprotroph	agaricoid
c792	30	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypogymnia	Hypogymnia_physodes	lichenized	apothecium_(hymenium_on_surface)
c793	30	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Clavulinopsis	soil_saprotroph	clavarioid
c794	30	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_terricola	soil_saprotroph	none
c795	30	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c796	30	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavulinopsis	Clavulinopsis	soil_saprotroph	clavarioid
c797	30	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina	ectomycorrhizal	corticioid
c798	30	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c799	30	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c800	30	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c801	30	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_fuscidula	ectomycorrhizal	agaricoid
c802	30	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_acutus	ectomycorrhizal	agaricoid
c803	30	NA	NA	NA	NA	Dothideomycetes	Dothideomycetes	NA	NA
c804	29	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c805	29	NA	NA	NA	NA	Pezizomycotina	Pezizomycotina	NA	NA
c806	29	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c807	29	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c808	29	Basidiomycota	Agaricomycetes	Agaricales	Squamanitaceae	Cystoderma	Cystoderma_	litter_saprotroph	agaricoid
